calendar_period_start,calendar_period_end,dynasty_no,dynasty_name,kingdom_name,king_horus,king_two_ladies,king_horus_gold,king_sedge_bee,king_birth_son_of_ra,image_local,image_url,image_creator,JSesh_birth_cartouche,JSesh_throne_praenomen_cartouche
3100,2890,1,First Dynasty,Early Dynastic Period,Narmer,,,,Meni,None,None,None,narmer_birth_name.svg,None
3100,2890,1,First Dynasty,Early Dynastic Period,Aha,,,,Teti,110px-GlazedFiaenceVesselFragmentNameOfAha-BritishMuseum-August21-08.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/GlazedFiaenceVesselFragmentNameOfAha-BritishMuseum-August21-08.jpg/110px-GlazedFiaenceVesselFragmentNameOfAha-BritishMuseum-August21-08.jpg,https://commons.wikimedia.org/wiki/User:Captmondo?uselang=de,aha_birth_name.svg,None
3100,2890,1,First Dynasty,Early Dynastic Period,Djer,,,,Itetj,None,None,None,djer_birth_name.svg,None
3100,2890,1,First Dynasty,Early Dynastic Period,Djet,,,,Ita,110px-djet_Egypte_louvre_290.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Egypte_louvre_290.jpg/110px-Egypte_louvre_290.jpg,https://commons.wikimedia.org/wiki/User:Mbzt,djet_birth_name.svg,None
3100,2890,1,First Dynasty,Early Dynastic Period,Den,,,,Khasti,None,None,None,den_birth_name.svg,None
3100,2890,1,First Dynasty,Early Dynastic Period,Adjib,,,,Merybiap,None,None,None,adjib_birth_name.svg,None
3100,2890,1,First Dynasty,Early Dynastic Period,Semerkhet,,,,Iry,None,None,None,semerkhet_birth_name.svg,None
3100,2890,1,First Dynasty,Early Dynastic Period,Qa'a,,,,Sen,None,None,None,qaa_birth_name.svg,None
2890,2686,2,Second Dynasty,Early Dynastic Period,Hetepsekhemwy,,,,None,None,None,None,hetepsekhemwy_birth_name.svg,None
2890,2686,2,Second Dynasty,Early Dynastic Period,Nebra,,,,Kakau,220px-Stela_of_Raneb-Nebra_MET_DP259528.jpg,https://en.wikipedia.org/wiki/Nebra_(pharaoh),None,nebra_birth_name.svg,nebra_throne_name.svg
2890,2686,2,Second Dynasty,Early Dynastic Period,Nlnetjer,,,,Banetjer,None,None,None,nlnetjer_birth_name.svg,None
2890,2686,2,Second Dynasty,Early Dynastic Period,Peribsen,,,,,None,None,None,None,peribsen_seth_throne_name.svg
2890,2686,2,Second Dynasty,Early Dynastic Period,Sekhemib,,,,,None,None,None,None,sekhemib_throne_name.svg
2890,2686,2,Second Dynasty,Early Dynastic Period,Khasekhem,,,,Djadjay,None,None,None,khasekhem_birth_name.svg,None
2686,2613,3,Third Dynasty,Old Kingdom,Djoser,,,,Netjerikhet,None,None,None,None,djoser_throne_name.svg
2686,2613,3,Third Dynasty,Old Kingdom,Sekhemkhet,,,,Teti,None,None,None,sekhemkhet_birth_name.svg,sekhemkhet_throne_name.svg
2686,2613,3,Third Dynasty,Old Kingdom,Sanakht,,,,None,None,None,None,None,sanakht_throne_name.svg
